author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Dunsany Edward John Moreton Drax Plunkett Baron	B2344	{6737955}		{'uc2.ark+=13960=t52f7kh34'}	{'Fantasy fiction, English', 'Manners and customs', 'Irish authors'}	A dreamers tales	
Conrad Joseph	B1802	{3169957}		{'uc2.ark+=13960=t8sb49j1g'}	{'Dutch', 'Indonesia', 'Social life and customs'}	Almayers folly	
Eliot George	B2597	{8592699, 6672445}	{'NotBiographical', 'Bibliographies', 'Novel', 'Autobiography', 'Jewish fiction', 'Didactic fiction'}	{'uc1.b4105109', 'uc1.b4105110'}	{'Jews', '1819-1880', 'England', '19th century', 'Marriage', 'Upper class', 'English literature', 'Social life and customs', 'Zionists', 'Eliot, George'}	Daniel Deronda	
Black William	B792	{8802249}		{'uc1.b3321705'}	{'Nature', 'Social life and customs', 'Country life'}	Briseis	
Antin Mary	B19	{8848414}	{'Autobiography'}	{'mdp.39015008221700'}	{'Russians', 'Boston', '1881-1949', 'Massachusetts', 'IsBiographical', 'Russia', 'Social life and customs', 'Antin, Mary'}	The promised land	
Barker	B934	{6817053}		{'uc2.ark+=13960=t5m90h655'}	{'KwaZulu-Natal (South Africa)', 'Rodrigues (Mauritius)', 'Mauritius', 'New Zealand', 'Colonies', 'Trinidad', 'Australia', 'Social life and customs', 'Great Britain'}	Colonial memories	
Dickens Charles	B2097	{3203888}	{'Autobiographical fiction', 'Bildungsromane', 'ContainsBiogMaterial'}	{'njp.32101058459064', 'inu.32000002986299'}	{'Orphans', 'London', 'Young men', 'Dickens, Charles', 'England', 'Boys', 'Child labor', '19th century', '1812-1870', 'Stepfathers', 'Social life and customs'}	David Copperfield	
Moore Frank Frankfort	B5798	{3199786}		{'uc2.ark+=13960=t8kd1t47w'}	{'Social life and customs', 'Great Britain'}	The lighter side of English life	
Martineau Harriet	B5453	{4965218, 8427455}		{'nyp.33433074895297'}	{'Social life and customs', 'Norway'}	Feats on the Fiord  a tale	
Livermore Elizabeth D	B4865	{9110234}		{'nyp.33433076074552', 'nyp.33433076074545'}	{'Social life and customs', 'Racially mixed people', 'Virgin Islands of the United States', 'Denmark', 'Women, Black'}	Zoë or The quadroons triumph  a tale for the times	
Garland Hamlin	B3212	{6760722, 6785886}		{'uc1.b3561877'}	{'Western stories', '(OCoLC)fst01243255', 'Love stories, American', 'Manners and customs', '(OCoLC)fst01002993', '(OCoLC)fst01174081', '(OCoLC)fst01007815', 'Social life and customs'}	Wayside courtships	
Baronne d Oberkirch Henriette Louise von Waldner	B533	{9006631, 4993606, 9452735}		{'njp.32101073593145'}	{'Social life and customs', 'History', 'Louis XVI, 1774-1793'}	Memoirs of the Baroness dOberkirch countess de Montbrison	
Haliburton Thomas Chandler	B3612	{9410634, 8447083}		{'njp.32101067633691'}	{'Social life and customs'}	The old judge or Life in a colony	
Ognev N Nikolaĭ	B6247	{3217195}		{'mdp.39015036041658', 'uc1.$b323143'}	{'Social life and customs', 'Communism', 'Soviet Union'}	The diary of a communist schoo	
Gale James Scarth	B3296	{6803324, 3174558}		{'uc2.ark+=13960=t95719x5v'}	{'Social life and customs', 'Korea'}	Korean sketches	
Begbie Harold	B774	{3209610}		{'uc1.$b812567'}	{'1801-1885', 'Shaftesbury, Anthony Ashley Cooper', 'Earl of', '20th century', 'Social conditions'}	The little that is good  stories of London and glimpses of English civilization	
Tressell Robert	B8165	{8950035, 6851211}		{'uc1.b4089322'}	{'Capitalism', 'Socialists', 'Social conflict', 'Working class', 'Labor movement', 'Working class families', 'Social classes'}	The ragged trousered philanthr	
Smith Frank Berkeley	B7322	{3172438}		{'loc.ark+=13960=t5z61cm8s'}	{'Social life and customs', 'London (England)'}	In London town	
Munro Neil	B5357	{8917238, 6856063}	{'Novel'}	{'njp.32101065845842'}	{'20th century', 'Social life and customs', 'Americans', 'Scotland'}	The daft days	
Miln Louise Jordan Mrs	B5352	{3164893}		{'njp.32101064994773'}	{'Social life and customs', 'Description and travel', 'Orient'}	When we were strolling players in the East	
Hains T Jenkins Thornton Jenkins	B3748	{8903336}	{'Sea stories'}	{'nyp.33433076083678'}	{'Sailors', 'Social classes', 'Man-woman relationships', 'Conduct of life'}	The voyage of the Arrow  to the China Seas  its adventures and perils including its capture by Sea Vultures from the Countess of Warwick as set down by William Gore Chief Mate	
Scott Walter Sir	B7457	{8622774}	{'Bibliographies'}	{'nyp.33433075743058', 'nyp.33433075743074', 'nyp.33433075743066'}	{'Social life and customs'}	Guy Mannering or The astrologe	
Waugh Evelyn	B8699	{3241940}		{'uc1.32106018261005'}	{'Nineteen twenties', 'Social life and customs', 'Treasure hunt (Game)', '20th century'}	Vile bodies	
White William Allen	B8706	{6831163}	{'Bibliographies'}	{'uc1.b3295323'}	{'Social problems'}	A certain rich man	
Mitra Siddha Mohana	B5755	{6705392}		{'uc2.ark+=13960=t5cc14c3s'}	{'Social life and customs', 'India'}	Hindupore	
Shanks Edward	B7303	{3212884, 2451430}		{'dul1.ark+=13960=t5db8qq9t'}	{'Social life and customs', 'Time travel', 'Great Britain'}	The people of the ruins	
Lagerlöf Selma	B4943	{6677432, 3163989, 8878974, 6786520}		{'uc2.ark+=13960=t25b09s9q'}	{'Bröchner, Jessie', 'Social life and customs', 'tr'}	From a Swedish homestead	
bart Douglas George Brisbane Sir	B9095	{3165801}		{'inu.30000108972989'}	{'Social life and customs', 'Tales', 'Fairy tales', 'Scotland', 'Folklore'}	Scottish fairy and folk tales	
Marks Jeannette Augustus	B5546	{6839738}		{'uc2.ark+=13960=t2r49h97k', 'nyp.33433076051493'}	{'Social life and customs'}	Through Welsh doorways	
Hardy Thomas	B3513	{8534275}	{'Bibliographies', 'ContainsBiogMaterial'}	{'mdp.39015008981394'}	{'People with visual disabilities', 'Mate selection', 'Heathlands', 'Married people', 'Mothers and sons', '19th century', 'Adultery', 'Social life and customs'}	The return of the native	
Cervantes Saavedra Miguel de	B1326	{6795168}	{'Romances', 'Picaresque literature', 'Bibliographies', 'Adventure stories'}	{'coo.31924111705111', 'uc1.l0084018282'}	{'Social life and customs', 'Knights and knighthood', 'Spain', '16th century'}	Don Quixote	
Little Archibald	B4966	{8953497}		{'uc2.ark+=13960=t5p84jq34'}	{'Social life and customs', 'China'}	My diary in a Chinese farm	
Fuller Hiram	B2792	{9146600}		{'nyp.33433076090434'}	{'Social life and customs', 'Description and travel'}	Belle Brittan on a tour  at Newport and here and there	
Williamson C N Charles Norris	B8632	{6844988}	{'Love stories'}	{'nyp.33433075768568'}	{'United States', 'Man-woman relationships', '19th century', 'Young women', 'Social life and customs', 'British'}	Lady Betty across the water	
Washburn Claude Carlos	B8704	{3168392}		{'uc1.b3251391'}	{'Social life and customs', 'Description and travel'}	Pages from the book of Paris	
Gogolʹ Nikolaĭ Vasilʹevich	B2988	{9111672, 8957382}	{'Bibliographies'}	{'mdp.39015004104850', 'uiuo.ark+=13960=t9s187053', 'mdp.39015004119569', 'uc1.b4010822', 'mdp.39015002257536'}	{'Social life and customs', '1533-1917'}	Dead souls	
Cooke John Esten	B1453	{8716788}		{'njp.32101066457936'}	{'Social life and customs', 'Manners and customs', 'Martinsburg', '(OCoLC)fst01224867', '(OCoLC)fst01007815'}	Leather stocking and silk or Hunter John Myers and his times	
Hardy Thomas	B3822	{8802696, 3158617, 6724074}	{'Bibliographies'}	{'uc1.b3578724', 'uc1.b3578725', 'uc1.b3578726'}	{'Poor families', 'Children of the rich', 'Triangles (Interpersonal relations)', 'Man-woman relationships', 'Women household employees', '19th century', 'Children of clergy', 'English literature', 'Social life and customs', 'Women murderers'}	Tess of the DUrbervilles a pure woman faithfully presented	
Zola Émile	B9075	{6830513}		{'uc1.b4658445', 'uc2.ark+=13960=t4fn13891'}	{'Zola, Émile', 'Social life and customs', '1840-1902', 'Translations into English'}	The honour of the army and other stories	
Escott T H S	B2603	{6777583}		{'uc2.ark+=13960=t6sx6503p'}	{'Social life and customs', 'Great Britain', '19th century'}	A trip to Paradoxia and other humours of the hour	
Barlow Jane	B656	{3168355, 8888679}		{'nyp.33433074936331'}	{'In literature', 'fiction', 'Social life and customs', 'Irish literature', 'Authors, Irish'}	The founding of fortunes	
Craigie William A William Alexander Sir	B1391	{6648773}	{'Bibliographies'}	{'mdp.39015062219939'}	{'Scandinavia', 'Social life and customs', 'Folklore'}	Scandinavian folklore illustrations of the traditional beliefs of the northern peoples	
Armstrong Martin	B205	{8871832}		{'wu.89087902060'}	{'Manners and customs'}	The puppet show	
Haigh Richmond	B3916	{3211254}		{'uc2.ark+=13960=t5bc3vd2w'}	{'Social life and customs', 'Ethiopia', 'Folklore'}	An Ethiopian saga	
SackvilleWest V Victoria	B7329	{3195843}	{'Love stories'}	{'mdp.39015002753138'}	{'Social life and customs', '20th century'}	The heir a love story	
Tarkington Booth	B8054	{8881849, 3272458}	{'Great Britain', 'Proofs (Printing)'}	{'mdp.39015065779426'}	{'Bath (England)', '1879-1931', 'England', '18th century', 'Lindsay, Vachel', 'Personal copy', 'Social life and customs', 'Gambling', 'Library'}	Monsieur Beaucaire	
Cable George Washington	B1693	{3266111}		{'uc2.ark+=13960=fk2w37kx1m', 'uc2.ark+=13960=t6sx65984'}	{'Vendetta', 'Culture conflict', '1775-1865', 'Creoles', 'Southern States', 'Social life and customs'}	The Grandissimes	
Wells H G Herbert George	B8870	{2442175}	{'Novel'}	{'wu.89002181352'}	{'Fiction in English, 1900-1945 - Texts', 'Discontent', 'Social life and customs', 'Life change events', '19th century'}	The history of Mr Polly	
jr Fox John	B9110	{6824095}		{'nyp.33433081819181'}	{'Social life and customs'}	Bluegrass and rhododendron outdoors in old Kentucky	
Harvey William	B3637	{6838817}		{'nnc1.cr60059940'}	{'Social life and customs', 'National characteristics, Scottish', 'Scottish wit and humor'}	Scottish life and character in anecdote and story	
Jewett Sarah Orne	B4210	{6789202, 8948068}	{'Bibliographies'}	{'loc.ark+=13960=t2j681c0r'}	{'Summer resorts', 'Women', 'Women authors', 'Maine', 'Seaside resorts', 'Authorship', '19th century', 'Country life', 'Social life and customs'}	The country of the pointed firs	
Maclaren Ian	B5527	{3158625}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)'}"	{'nyp.33433075747463'}	{'Social life and customs'}	The days of auld lang syne	
Chambers Robert W Robert William	B1435	{6774482, 6808980}		{'njp.32101063605479'}	{'Manners and customs'}	The haunts of men	
Rolfe Frederick	B7101	{3170700, 6806150}	{'Bibliographies'}	{'uc2.ark+=13960=t6057jc5s'}	{'Manners and customs'}	In his own image	
Trollope Anthony	B8066	{5010746, 8444373, 8629910}	{'Bibliographies'}	{'njp.32101013826951', 'njp.32101017731553'}	{'Barchester (England : Imaginary place)', 'Trollope, Anthony', 'Barsetshire (England : Imaginary place)', 'England', '19th century', '1815-1882', 'Clergy', 'Social life and customs'}	Barchester towers	
Dickens Charles	B2250	{4372131, 9428028, 8485575}	{'Bibliographies', 'Satire', 'ContainsBiogMaterial', 'Love stories'}	{'uiug.30112049064725', 'nyp.33433075769178', 'uiuo.ark+=13960=t0jt0c18w', 'uiuo.ark+=13960=t8hd8j45n', 'nyp.33433074969258', 'uiuo.ark+=13960=t6nz8vw9c', 'uc1.b4102860'}	{'London (England)', 'Poor families', 'Dickens, Charles', '1812-1870', 'Deception', 'English fiction', 'Inheritance and succession', 'Social classes'}	Our mutual friend	
Forster E M Edward Morgan	B2672	{9071402}	{'Edwardian novels', 'Historical fiction'}	{'mdp.39015005111680', 'pst.000029721290'}	{'Social conflict', '20th century', 'Man-woman relationships', 'England', 'Sisters', 'Social life and customs', 'Inheritance and succession'}	Howards End	
Browning H Ellen	B406	{9400236}		{'mdp.39015059200470'}	{'Social life and customs', 'Description and travel'}	A girls wanderings in Hungary	
Gissing George	B3336	{8867538, 3177310, 6780551}		{'uva.x000239878'}	{'Social life and customs', '19th century'}	The crown of life	
Wharton Edith	B8697	{3186960, 9286594, 6809123}	{'Bibliographies'}	{'uc1.32106002154331'}	{'Social life and customs', 'New York', 'Single women', 'New York (State)'}	The house of mirth	
London Jack	B4923	{6810552, 3278203, 9012838}		{'uc2.ark+=13960=fk01z41s21'}	{'Adventure stories, American', 'Social life and customs', 'Yukon', 'Gold discoveries', 'Klondike River Valley (Yukon)'}	The son of the wolf	
Aytoun William Edmondstoune	B153	{4356707}		{'uc2.ark+=13960=t5n877988', 'uc2.ark+=13960=t3125zp8x'}	{'Social life and customs', 'Scotland', 'Criminals', 'Jews', '19th century'}	Norman Sinclair	
Trollope Anthony	B8169	{8519142}		{'uc1.b4104233'}	{'19th century', 'Australia', 'Social life and customs', 'Frontier and pioneer life', 'History', 'British'}	Harry Heathcote of Gangoil A tale of Australian bush life	
Dickens Charles	B2124	{3295184, 3206547, 3189524, 4444870, 3202927}	{'Ghost stories', 'Bibliographies'}	{'uc2.ark+=13960=t7zk57x7j', 'mdp.39015091651375', 'mdp.39015035841835'}	{'Misers', 'Scrooge, Ebenezer (Fictitious character)', '19th century', 'Juvenile fiction', 'Christmas stories', 'Social life and customs', 'Christmas stories, English'}	A Christmas carol	
Crockett S R Samuel Rutherford	B1807	{3181207}		{'uc2.ark+=13960=t91837316'}	{'Social life and customs', 'Description and travel', 'Spain'}	The adventurer in Spain	
OConnor T P Mrs	B6235	{2436803}		{'loc.ark+=13960=t43r1513r'}	{'Social life and customs', 'Southern States'}	My beloved South	
Dickens Charles	B2221	{4444870}	{'Ghost stories', 'Juvenile audience', 'Christmas stories'}	{'nyp.33433074954482'}	{'London (England)', 'Poor families', 'Misers', 'Ghost stories', 'Scrooge, Ebenezer (Fictitious character)', '19th century', 'Juvenile fiction', 'Sick children', 'Christmas stories', 'Social life and customs'}	A Christmas carol in prose The chimes The cricket on the hearth	
Trollope Anthony	B8030	{8497293, 9437462}		{'mdp.39015005889996'}	{'Christianity', 'Czech Republic', 'Relations', 'Interfaith marriage', '19th century', 'Judaism', 'Social life and customs', 'Prague', 'History'}	Nina Balatka the story of a maiden of Prague	
Bulgarin Faddeĭ	B534	{4693973}		{'njp.32101075686376', 'nyp.33433073357042'}	{'Social life and customs'}	Ivan Vejeeghen or Life in Russ	
Hodgetts Edith M S	B3500	{8776630, 6760511}		{'inu.39000005757880'}	{'Russia', 'Social life and customs', 'Tales', 'Legends', 'Folklore'}	Tales and legends from the land of the tzar a collection of Russian stories tr from the original Russian	
Crane Stephen	B1468	{6797377, 6782627}		{'njp.32101068597242'}	{'Social life and customs', '19th century'}	The open boat and other storie	
Wharton Edith	B8673	{6665128, 6789073, 6824858, 8960352, 3192520}	{'Bibliographies', 'Satire', 'Domestic fiction'}	{'nyp.33433076079122'}	{'Americans', 'Divorced women', 'France', 'Upper class', 'Social life and customs', 'New York', 'Remarried people', 'New York (State)'}	The custom of the country	
Gordon Jan	B3280	{3193601}		{'uc2.ark+=13960=t6xw4dv6c'}	{'Social life and customs', 'Balkan Peninsula', 'Outlaws'}	A Balkan freebooter	
Johnston Harry Hamilton Sir	B4235	{6752459}		{'mdp.39015035397515'}	{'Social life and customs'}	The history of a slave	
Hawthorne Nathaniel	B3630	{4969594}	{'Bibliographies'}	{'njp.32101068599248', 'uc2.ark+=13960=t93776r0m', 'njp.32101068599230'}	{'Social life and customs', '19th century'}	Mosses from an old manse	
Makino Yoshio	B5238	{2441743}		{'loc.ark+=13960=t6qz33j81'}	{'Social life and customs', 'Japan'}	When I was a child	
Thackeray William Makepeace	B8219	{9012145}	{'Bibliographies', 'Satire'}	{'ucm.5324200923', 'ucm.5324200950'}	{'Women', 'Waterloo, Battle of, Waterloo, Belgium, 1815', 'Married women', 'England', '19th century', 'Europe', 'Female friendship', 'Social life and customs', 'Social classes', 'British'}	Vanity Fair  a novel without a	
Herrick Robert	B3996	{6798166, 9028236, 8981238}		{'wu.89073539553'}	{'Social problems'}	The common lot	
Hardy Thomas	B3600	{6713689, 8584519}	{'Pastoral fiction', 'Bibliographies', 'Love stories'}	{'uiuo.ark+=13960=t73v08j17', 'uc1.32106006332305', 'uiuo.ark+=13960=t44q8kt63', 'mdp.39076005003285'}	{'X823H22F', 'Pastoral fiction', 'Women farmers', 'Triangles (Interpersonal relations)', 'England', '19th century', 'Love stories', 'Social life and customs'}	Far from the madding crowd	
Wilson Francesca M	B8871	{2432177}		{'wu.89085124782'}	{'Social life and customs'}	Portraits and sketches of Serbia	
Banim John	B652	{8618437, 5118007}	{'Bibliographies'}	{'nyp.33433074932389', 'uc2.ark+=13960=t8sb40478', 'uc1.b3322285'}	{'Ireland', 'Social life and customs', 'British', 'History', '19th century'}	The AngloIrish of the nineteenth century	
Gaskell Elizabeth Cleghorn	B2967	{4373322}	{'Novel', 'Bibliographies', 'Bildungsromane', 'Domestic fiction', 'Love stories'}	{'dul1.ark+=13960=t5r792w66', 'dul1.ark+=13960=t6d22nv15', 'pst.000028738046'}	{'Women', 'Binder', 'Fiction in English, 1837-1900 Texts', 'England', 'Young women', 'Bayntun', 'Social life and customs', 'Fathers and daughters', 'Social conditions', 'Children of physicians', 'Stepfamilies'}	Wives and daughters	
Trollope Anthony	B8156	{9429962, 4364890}	{'Bibliographies'}	{'uc1.32106005430803'}	{'Trollope, Anthony', 'Barsetshire (England : Imaginary place)', 'England', '19th century', '1815-1882', 'Clergy', 'Social life and customs'}	The small house at Allington	
Evans Margiad	B2619	{3230703}	{'Bibliographies'}	{'umn.319510020793826'}	{'Herefordshire', 'Social life and customs', 'England', 'Country life'}	The old and the young	
Johnson Clifton	B4313	{6671216, 3201932, 3167396, 6833460}		{'nyp.33433081883724'}	{'Travel', 'Description and travel', '(OCoLC)fst01241420', '(OCoLC)fst01243255', '(OCoLC)fst01155558', 'Mississippi River Valley', 'West (U.S.)', 'Great Lakes (North America)', 'Pacific States', 'Description and travel. [from old catalog]', 'Social life and customs', 'New England', 'Rocky Mountains'}	Highways and byways of the South	
Garland Hamlin	B3166	{8957810}		{'nyp.33433081919981'}	{'(OCoLC)fst00921052', 'Farm life', 'Iowa', 'Prairies', '(OCoLC)fst01205835', '(OCoLC)fst00935370', 'Frontier and pioneer life', 'Social conditions'}	Boy life on the prairie	
Graham Stephen	B3352	{6874605}		{'yale.39002024433618'}	{'Social life and customs', 'Description and travel', '1865-1918', 'Emigration and immigration'}	With poor immigrants to America	
Trollope Anthony	B8197	{4918137, 8464930}	{'Bibliographies'}	{'uc2.ark+=13960=t4gm8fv9d'}	{'Trollope, Anthony', 'Barsetshire (England : Imaginary place)', 'Church of England', 'England', '19th century', '1815-1882', 'Clergy', 'Social life and customs'}	Framley parsonage	
Jacobs Harriet A Harriet Ann	B4397	{9443738}		{'wu.89098876212'}	{'United States', 'Social conditions', 'African American authors', 'American literature', 'Slaves'}	The deeper wrong or Incidents in the life of a slave girl	
Mitchell S Weir Silas Weir	B5809	{8876216}		{'uc2.ark+=13960=t9j38m53f', 'uva.x004529539'}	{'Social problems'}	The autobiography of a quack	
Gaskell Elizabeth Cleghorn	B2978	{8850587}		{'inu.30000007412517'}	{'Social conditions'}	Round the sofa	
Author of Old maids	B96	{4439001, 8202277, 6142270}		{'nyp.33433075771968'}	{'Great Britain', 'Social classes'}	Plebeians and patricians	
Lawrence D H David Herbert	B4701	{2443292}	{'Psychological fiction', 'Bibliographies', 'Novel', 'Love stories'}	{'inu.30000007661410'}	{'Interpersonal relations', 'Women', 'Sexual behavior', 'Coal miners', 'England', 'Male friendship', 'Sisters', 'Coal mines and mining', 'Midlands', 'Social conditions', 'Social classes'}	Women in love	
